"scenario", "treatment", "ctime", "air.temp", "TAN.app", "man.dm", "man.ph", "app.mthd", "rain.cum", "app.rate.ni", "j"                , "er"                 , "shift"
         1, "AA"       ,     115,      8.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0194802214172967 , 0.326146907632854    ,    0
         1, "AA"       ,     116,      8.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0191158045758932 , 0.326455227061497    ,    0
         1, "AA"       ,     117,      8.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0187577876812135 , 0.326757772024097    ,    0
         1, "AA"       ,     118,      8.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0184065783581637 , 0.327054652320197    ,    0
         1, "AA"       ,     119,     10    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0180634298048403 , 0.32734599796221     ,    0
         1, "AA"       ,     120,     10.8  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0177262331107002 , 0.327631904947867    ,    0
         1, "AA"       ,     121,     12.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.01739657247143   , 0.327912494826438    ,    0
         1, "AA"       ,     122,     12.8  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0170709104554945 , 0.328187832091849    ,    0
         1, "AA"       ,     123,     12.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0167505559823731 , 0.32845800234963     ,    0
         1, "AA"       ,     124,     10.8  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0164358021062476 , 0.328723095931988    ,    0
         1, "AA"       ,     125,      9.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0161272866091657 , 0.328983213457943    ,    0
         1, "AA"       ,     126,      6.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0158243759203494 , 0.329238445327626    ,    0
         1, "AA"       ,     127,      5    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0155282194211566 , 0.32948890047958     ,    0
         1, "AA"       ,     128,      5.8  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0152385062489131 , 0.329734682838433    ,    0
         1, "AA"       ,     129,      6.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0149541182028905 , 0.329975878293319    ,    0
         1, "AA"       ,     130,      7.2  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0146750994095122 , 0.330212573445085    ,    0
         1, "AA"       ,     131,      6.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0144008690343433 , 0.330444845526284    ,    0
         1, "AA"       ,     132,      6.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0141319185932822 , 0.330672779697144    ,    0
         1, "AA"       ,     133,      6.8  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0138680850253508 , 0.330896458487875    ,    0
         1, "AA"       ,     134,      6.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0136091608627851 , 0.331115961082436    ,    0
         1, "AA"       ,     135,      6.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0133550187468821 , 0.331331364610612    ,    0
         1, "AA"       ,     136,      6.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0131056790957906 , 0.331542746531511    ,    0
